Heatwave Spatial Coverage,,,,,,,,,,,,,,,,,,,,,
Monthly % of LME Impacted,,,,,,,,,,,,,,,,,,,,,
Year,California Current,Gulf Of Mexico,Caribbean,Southeast,Northeast,Gulf of Alaska,Eastern Bering Sea,Chukchi Sea,Hawaiian Insular LME,Lake Ontario,Lake Michigan,Lake Huron,Lake Erie,Lake Superior,American Samoa,Jarvis Island,Kingman Reef & Palmyra Atoll,Howland & Baker Islands,Johnson Atoll,Wake Island,Guam & CNMI
Jan1992,1.02,0.66,0.00,0.04,0.13,0.77,0.17,0.82,0.05,0.00,0.54,0.38,8.55,0.00,0.55,67.10,3.34,0.43,0.00,0.00,0.00
Feb1992,4.87,0.22,0.01,2.17,0.19,1.94,0.02,0.12,0.00,0.00,6.49,2.63,0.08,1.46,1.17,53.88,8.49,2.93,0.00,0.00,0.80
Mar1992,21.11,0.21,0.01,2.95,0.06,6.60,0.22,0.02,0.00,0.00,3.10,1.86,1.50,2.40,2.32,65.96,2.44,4.29,0.00,0.00,0.00
Apr1992,28.90,0.00,0.19,1.84,0.28,4.88,0.14,1.04,0.02,0.00,0.00,0.00,0.00,0.00,0.00,66.67,3.93,0.59,0.00,0.00,0.02
May1992,34.03,0.00,0.01,0.02,0.23,0.26,0.08,0.63,0.71,0.00,0.00,0.00,0.00,0.00,1.45,35.92,0.92,2.08,0.10,0.00,0.00
Jun1992,18.70,1.25,0.06,0.00,0.00,1.56,0.17,0.33,4.25,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.03,2.69,0.00,0.00,0.00
Jul1992,25.01,0.11,0.00,0.00,0.00,1.56,0.00,1.60,2.22,0.00,0.00,0.00,0.00,0.00,0.03,0.02,2.12,5.03,4.92,0.00,0.00
Aug1992,5.54,0.00,0.00,0.00,0.00,0.01,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00
Sep1992,4.52,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,2.99,0.00,0.00,0.00,0.57,0.00,0.00
Oct1992,10.11,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.62,0.00,0.00,0.00,0.00,0.00,2.32,0.00,0.00,0.00,0.60,0.00,0.00
Nov1992,18.51,0.01,0.06,0.27,0.00,0.13,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.03,0.00,0.00,0.00,0.00
Dec1992,6.69,0.06,0.02,1.33,0.00,0.05,0.00,0.02,0.02,0.00,0.00,0.14,0.00,0.46,0.29,0.00,4.64,0.00,0.00,0.00,0.00
Jan1993,3.74,10.55,0.66,8.05,0.03,0.00,0.03,0.62,0.05,0.00,0.00,0.00,0.75,0.00,5.51,0.00,10.10,0.00,0.00,0.00,0.00
Feb1993,6.65,1.24,0.18,6.50,0.05,0.03,0.49,0.99,0.01,0.00,0.00,0.61,0.00,0.42,0.27,0.00,0.81,0.08,0.00,0.00,0.00
Mar1993,6.83,0.16,0.00,1.58,0.01,0.05,0.14,0.89,0.02,0.00,0.03,0.36,0.00,0.00,0.11,0.00,0.00,0.01,0.00,0.00,0.00
Apr1993,4.76,0.01,0.06,0.33,0.38,0.15,1.07,2.31,0.20,0.00,0.00,0.00,0.00,0.00,0.01,0.32,0.00,0.01,0.00,0.00,0.00
